player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,player_position,player_cost,opp,gwk_31_pts
84,Eze,100,369,2.2,4,2,DEF,5.6,CHE,1
85,Bednarek,100,450,2,2,6,DEF,5,WBA,1
86,Sigurdsson,100,244,2.8,2,5,DEF,4.8,BHA,3
87,Rodríguez,100,78,2.2,4,3,MID,5.8,TOT,3
88,Lindelöf,100,360,4.4,4,0,MID,5.8,TOT,2
89,Ndombele,100,321,3,4,7,MID,5.5,MUN,2
90,Cash,100,180,0.4,4,1,DEF,5.3,LIV,1
91,McGinn,100,450,2,4,10,GKP,4.6,LIV,5
92,Mee,100,450,1.4,2,0,MID,5.9,NEW,1
93,McNeil,100,450,3.6,2,1,MID,5.1,NEW,2
94,James,100,337,3.2,3,0,DEF,4.8,CRY,4
96,de Gea,100,90,1.8,4,-1,MID,5.3,TOT,0
97,Zouma,100,180,1.2,3,13,DEF,5,CRY,8
98,Coady,100,450,4.2,2,6,DEF,4.5,FUL,6
99,Groß,100,450,2.8,4,1,DEF,4.5,EVE,3
100,Klich,100,168,1,5,2,MID,5.8,MCI,0
101,Tarkowski,100,450,1.2,2,0,DEF,4.4,NEW,1
102,Bellerín,100,0,0,2,11,MID,7.4,SHU,0
103,Lowton,100,450,1.2,2,0,DEF,4.7,NEW,1
104,Ramsdale,100,450,4,3,2,MID,6.6,ARS,1
105,Walker,100,295,2,3,2,DEF,5.3,LEE,0
106,McCarthy,100,90,0.2,2,9,GKP,4.6,WBA,0
107,Ogbonna,0,0,0,4,6,DEF,4.4,LEI,0
108,White,100,443,2.2,4,0,DEF,4.5,EVE,9
109,Højbjerg,100,450,2.4,4,5,FWD,6.4,MUN,2
110,Saïss,100,450,2,2,8,GKP,4.8,FUL,6
111,Darlow,100,0,0,2,2,DEF,6.1,BUR,0
112,Vestergaard,100,450,2.4,2,7,DEF,5.8,WBA,1
113,Walker-Peters,100,270,1.8,2,5,FWD,6.2,WBA,1
114,Westwood,100,450,1.8,2,8,DEF,4.2,NEW,2
115,Pickford,25,312,3.2,2,1,MID,5.2,BHA,0
116,Wijnaldum,100,319,2.2,3,2,GKP,5.3,AVL,2
117,McTominay,100,292,2.6,2,1,DEF,4.3,BUR,1
118,Almirón,100,211,1.4,2,0,MID,5.6,BUR,2
119,Tierney,75,405,2.2,2,2,MID,4.9,SHU,0
120,Evans,100,248,1.6,4,0,DEF,5,WHU,1
121,Bertrand,100,450,3,4,1,DEF,5,CHE,1
121,Bertrand,100,450,3,4,2,MID,5.3,CHE,1
122,Veltman,100,450,3.2,4,0,MID,4.9,EVE,6
123,Townsend,100,250,1.8,4,2,MID,7.1,CHE,1
124,Digne,100,450,3.2,2,1,DEF,4.7,BHA,6
125,Alioski,100,352,2.2,5,1,DEF,6.1,MCI,4
126,Rice,25,360,1.8,4,3,DEF,4.4,LEI,0
127,Semedo,100,437,2.2,2,6,MID,7.6,FUL,9
128,Holding,100,90,0.2,2,0,FWD,5.2,SHU,8
129,Martial,0,98,1.2,4,1,GKP,4.4,TOT,0
130,Ayling,100,450,2.6,5,2,MID,5.2,MCI,2
131,Bernardo Silva,100,156,1,3,1,DEF,4.7,LEE,6
133,Thiago Silva,0,28,-0.8,3,6,DEF,4.7,CRY,0
134,Rodrigo,100,271,1.6,3,2,DEF,4.7,LEE,0
135,Pogba,100,83,1.4,4,2,DEF,5.6,TOT,5
136,El Ghazi,100,250,1.4,4,0,MID,5.3,LIV,1
137,Doucouré,0,153,1.2,2,5,GKP,4.9,BHA,0
138,Cavaleiro,100,320,1.8,3,2,FWD,7.9,WOL,1
139,McGoldrick,100,274,1.6,3,8,MID,6.7,ARS,2
140,Alderweireld,100,270,1.8,4,0,MID,6.1,MUN,0
141,March,0,0,0,4,5,DEF,5.2,EVE,0
142,Kouyaté,100,450,2.6,4,2,MID,5.5,CHE,1
143,Decordova-Reid,100,245,1,3,2,DEF,5,WOL,2
144,Jota,100,228,4.4,3,2,FWD,5.5,AVL,2
145,Castagne,100,450,2.4,4,1,MID,4.7,WHU,1
146,Lucas Moura,100,398,5.2,4,1,MID,5.3,MUN,5
147,Lingard,100,356,6.8,3,0,MID,7.1,CRY,14
148,Abraham,100,0,0,3,5,FWD,8.6,CRY,0
149,Reguilón,100,416,2.8,4,2,DEF,5.6,MUN,1
150,Benteke,100,419,3,4,0,DEF,4.5,CHE,8
151,Bartley,100,450,5.2,2,1,FWD,5.2,SOU,6
152,Furlong,100,450,3.6,2,0,MID,7.6,SOU,6
153,Anguissa,100,252,1.4,3,2,DEF,5,WOL,1
155,Podence,100,45,0.2,2,3,MID,5.1,FUL,3
156,Taylor,100,299,0.8,2,1,DEF,5.4,NEW,0
157,Rüdiger,100,270,3.6,3,0,DEF,4.4,CRY,2
158,Traoré,100,450,3.4,2,1,MID,8.2,FUL,8
159,Pépé,100,262,4,2,6,MID,4.8,SHU,6
160,Willian,100,171,3.6,2,2,FWD,5.3,SHU,1
161,Mina,100,90,0.2,2,8,MID,5.3,BHA,1
162,Callum Robinson,100,53,2.2,2,1,DEF,4.4,SOU,8
163,Dendoncker,100,374,3,2,6,MID,8.3,FUL,3
164,Barkley,100,75,0.6,4,1,DEF,4.8,LIV,1
164,Barkley,100,75,0.6,4,7,MID,5.1,LIV,1
165,Reed,100,422,2.4,3,0,MID,4.6,WOL,3
166,Walcott,100,86,1,2,0,MID,5.8,WBA,2
166,Walcott,100,86,1,2,0,DEF,4.3,WBA,2
167,Webster,50,0,0,4,0,MID,4.9,EVE,0
168,Ayew,100,436,1.8,4,2,MID,9.1,CHE,2
170,Aurier,100,80,1.2,4,12,MID,4.4,MUN,1
171,Gallagher,100,347,2.6,2,0,FWD,7.1,SOU,1
172,Moutinho,75,360,2.6,2,1,MID,4.5,FUL,1
173,Bissouma,100,450,2.2,4,9,DEF,5,EVE,3
174,Holgate,100,432,2.8,2,0,MID,4.4,BHA,5
175,Boly,25,90,0.4,2,8,MID,5.8,FUL,0
177,Havertz,100,199,2.8,3,6,DEF,5.4,CRY,10
178,Loftus-Cheek,100,284,1.6,3,0,MID,7.5,WOL,3
179,Fofana,100,294,2,4,0,FWD,5.5,WHU,0
180,Ndidi,100,442,3.6,4,0,FWD,5.6,WHU,1
181,Dier,100,0,0,4,2,DEF,5.5,MUN,1
182,Bale,100,196,7,4,0,MID,4.8,MUN,1
183,Douglas Luiz,100,343,1.6,4,1,FWD,5.7,LIV,1
184,Iwobi,75,205,1,2,5,DEF,5.2,BHA,1
185,Mitrović,100,184,2.2,3,2,MID,5.1,WOL,2
186,Xhaka,75,343,1.4,2,1,MID,5.2,SHU,3
188,Iheanacho,100,407,7.8,4,1,MID,4.8,WHU,13
189,Ward,100,450,4.8,4,0,MID,5.9,CHE,0
190,Riedewald,100,365,1.8,4,1,MID,5,CHE,1
191,Costa,100,134,0.8,5,2,MID,5.3,MCI,2
192,Rodrigo,100,98,0.2,5,8,DEF,4.6,MCI,0
193,Henderson,0,0,0,3,0,DEF,4.6,AVL,0
