player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,opp,player_position,player_cost,gwk_34_pts
456,Bardsley,100,0.0,0.00,4,0.00,"WHU ",DEF,4.4,0
457,Richardson,100,1.0,0.20,4,0.00,"WHU ",FWD,4.5,0
458,Gilmour,100,0.0,0.00,2,0.00,"FUL ",MID,4.3,3
459,Virgínia,100,47.0,0.40,2,1.20,"AVL ",GKP,4.3,0
460,Kean,0,0.0,0.00,2,1.00,"AVL ",FWD,5.7,0
461,Kongolo,0,90.0,0.40,4,0.00,"CHE ",DEF,4.3,0
462,Casilla,100,0.0,0.00,3,2.00,"BHA ",GKP,4.2,0
463,Davis,100,0.0,0.00,3,0.00,"BHA ",DEF,3.8,0
464,Steffen,100,0.0,0.00,3,0.00,"CRY ",GKP,4.4,0
465,Tuanzebe,100,0.0,0.00,4,0.00,"LIV ",DEF,4.1,0
466,Williams,100,0.0,0.00,4,0.00,"LIV ",DEF,4.2,0
467,Watts,100,0.0,0.00,4,0.00,"LEI ",MID,4.5,0
468,Button,100,0.0,0.00,2,2.00,"WOL ",GKP,3.9,0
469,Peltier,100,0.0,0.00,2,0.00,"WOL ",DEF,3.9,0
470,Harper,0,0.0,0.00,2,0.00,"WOL ",MID,4.3,0
471,"Felipe Anderson",0,0.0,0.00,2,0.00,"BUR ",MID,6.1,0
472,Cutrone,0,0.0,0.00,2,1.00,"WBA ",FWD,5.9,0
473,Rúnarsson,100,0.0,0.00,2,0.00,"NEW ",GKP,4.4,0
474,Wesley,100,1.0,0.20,3,1.60,"EVE ",FWD,6.0,0
475,Izquierdo,100,8.0,0.20,3,0.00,"LEE ",MID,5.5,0
476,Molumby,0,0.0,0.00,3,0.00,"LEE ",MID,4.5,0
477,Khadra,100,0.0,0.00,2,1.00,"FUL ",MID,4.5,0
478,Caballero,100,0.0,0.00,2,0.00,"FUL ",GKP,4.6,0
479,Nkounkou,100,0.0,0.00,2,1.00,"AVL ",DEF,4.0,0
480,Gbamin,0,11.0,0.20,2,1.10,"AVL ",MID,5.0,0
481,Broadhead,0,0.0,0.00,2,0.00,"AVL ",MID,4.5,0
482,Rodák,0,0.0,0.00,4,0.00,"CHE ",GKP,4.3,0
483,"Le Marchand",0,0.0,0.00,4,0.00,"CHE ",DEF,4.1,0
484,Odoi,100,0.0,0.00,4,0.00,"CHE ",DEF,4.2,0
485,Gray,0,0.0,0.00,2,0.00,"SOU ",MID,5.1,0
486,Leshabela,100,9.0,0.20,2,1.10,"SOU ",MID,4.4,0
487,Slimani,0,0.0,0.00,2,0.00,"SOU ",FWD,4.9,0
488,Huggins,100,0.0,0.00,3,0.00,"BHA ",FWD,4.5,0
